Country of origin,Year,International total
Sao Tome and Principe,2017,54
Sao Tome and Principe,2018,56
Sao Tome and Principe,2019,57
Sao Tome and Principe,2020,51
Sao Tome and Principe,2021,31
Sao Tome and Principe,2022,25
Saudi Arabia,2017,2466
Saudi Arabia,2018,2928
Saudi Arabia,2019,3131
Saudi Arabia,2020,3252
Saudi Arabia,2021,3708
Saudi Arabia,2022,3552
Senegal,2017,51765
Senegal,2018,35617
Senegal,2019,32539
Senegal,2020,29772
Senegal,2021,32595
Senegal,2022,32628
Serbia and Kosovo: S/RES/1244 (1999),2017,46053
Serbia and Kosovo: S/RES/1244 (1999),2018,42070
Serbia and Kosovo: S/RES/1244 (1999),2019,38714
Serbia and Kosovo: S/RES/1244 (1999),2020,37081
Serbia and Kosovo: S/RES/1244 (1999),2021,38443
Serbia and Kosovo: S/RES/1244 (1999),2022,36484
Seychelles,2017,15
Seychelles,2018,15
Seychelles,2019,21
Seychelles,2020,15
Seychelles,2021,14
Seychelles,2022,9
Sierra Leone,2017,10732
Sierra Leone,2018,12268
Sierra Leone,2019,12560
Sierra Leone,2020,14118
Sierra Leone,2021,12300
Sierra Leone,2022,12793
Singapore,2017,103
Singapore,2018,116
Singapore,2019,127
Singapore,2020,111
Singapore,2021,134
Singapore,2022,128
Slovakia,2017,1612
Slovakia,2018,1608
Slovakia,2019,1574
Slovakia,2020,1577
Slovakia,2021,1597
Slovakia,2022,774
Slovenia,2017,31
Slovenia,2018,29
Slovenia,2019,34
Slovenia,2020,22
Slovenia,2021,27
Slovenia,2022,32
Solomon Islands,2017,163
Solomon Islands,2018,178
Solomon Islands,2019,261
Solomon Islands,2020,304
Solomon Islands,2021,352
Solomon Islands,2022,490
Somalia,2017,1044706
Somalia,2018,1005489
Somalia,2019,954679
Somalia,2020,866180
Somalia,2021,836283
Somalia,2022,856024
South Africa,2017,2069
South Africa,2018,2881
South Africa,2019,3280
South Africa,2020,3704
South Africa,2021,4199
South Africa,2022,4202
South Sudan,2017,2446340
South Sudan,2018,2298002
South Sudan,2019,2240421
South Sudan,2020,2193643
South Sudan,2021,2367796
South Sudan,2022,2368028
Spain,2017,236
Spain,2018,284
Spain,2019,327
Spain,2020,346
Spain,2021,478
Spain,2022,546
Sri Lanka,2017,134566
Sri Lanka,2018,128472
Sri Lanka,2019,126403
Sri Lanka,2020,157725
Sri Lanka,2021,163321
Sri Lanka,2022,157977
Sudan,2017,746747
Sudan,2018,792220
Sudan,2019,806797
Sudan,2020,857872
Sudan,2021,900454
Sudan,2022,927437
Suriname,2017,61
Suriname,2018,79
Suriname,2019,89
Suriname,2020,163
Suriname,2021,140
Suriname,2022,159
Sweden,2017,32
Sweden,2018,45
Sweden,2019,48
Sweden,2020,43
Sweden,2021,52
